Agent energy file
Z [A]       Energy [kcal/mol]
24.3265  47.0485  
24.8443  50.2931  
25.362  57.2926  
25.8797  69.7919  
26.3975  90.2445  
26.9152  22.862  
26.774  23.1096  
26.6328  23.3627  
26.4916  23.6225  
26.3503  23.8898  
26.2091  24.1841  
26.0679  24.4511  
25.9267  24.7066  
25.7855  25.0505  
25.6442  25.4778  
25.503  25.9565  
25.3618  26.4887  
25.2206  27.112  
25.0794  27.7608  
24.9381  28.3855  
24.7969  29.117  
24.6557  30.0224  
24.5145  30.9152  
24.3733  31.8591  
24.232  32.9881  
24.0908  34.2128  
23.9496  35.4699  
23.8084  36.9319  
23.6672  38.4523  
23.5259  40.1975  
23.3847  41.9974  
23.2435  44.072  
23.1023  46.2219  
22.9611  48.3807  
22.8198  50.4943  
22.6786  52.4988  
22.5374  54.3236  
22.3962  55.8961  
22.255  57.1481  
22.1137  58.0227  
21.9725  58.4806  
21.8313  58.5053  
21.6901  58.1055  
21.5489  57.3138  
21.4076  56.1829  
21.2664  54.7801  
21.1252  53.1794  
20.984  51.4559  
20.8428  49.6794  
20.7015  47.9115  
20.5603  46.203  
20.4191  44.5936  
20.2779  43.4874  
19.5453  42.6866  
18.7088  40.4389  
19.2036  40.5952  
20.0896  39.4284  
20.9357  37.6812  
20.4197  38.0863  
19.9036  38.1879  
19.3876  38.628  
18.7891  38.1005  
18.9632  38.6478  
19.683  38.3549  
19.8702  38.4906  
19.231  38.7029  
18.7706  38.3692  
19.1519  39.0075  
19.8484  38.5135  
19.7543  39.0847  
19.0251  38.8641  
18.8376  39.0508  
19.4785  39.3635  
19.9614  39.1089  
19.4597  39.7344  
18.8506  39.3061  
19.1361  40.0935  
19.8934  39.6487  
19.7784  40.3795  
19.0058  40.0595  
18.9892  40.6796  
19.7835  40.5532  
19.9179  41.0645  
19.1222  40.9843  
18.9922  41.5096  
19.7944  41.4843  
19.9246  42.0772  
19.0972  41.8994  
19.1133  42.7244  
19.9776  42.3926  
19.747  43.3669  
18.9759  42.9825  
19.4572  43.9931  
20.145  43.7297  
20.5707  43.5604  
20.9964  42.7122  
